ID,Full Name,Country,Weight,Height,Position,Team Abbreviation,Team Full Name,Total Games,Total Points,Total Assists,Total Rebounds,Total Blocks,Total Steals,Avg Points,Avg Rebounds,Avg Assists,Avg Blocks,Avg Steals,Season Games,Season Points,Season Assists,Season Rebounds,Season Blocks,Season Steals,Season Avg Points,Season Avg Rebounds,Season Avg Assists,Season Avg Blocks,Season Avg Steals,
1630173,Precious Achiuwa,Nigeria,110.2,203,Forward,SAC,Sacramento Kings,467,3721,511,2792,327,292,8.0,6.0,1.1,0.7,0.6,,,,,,,,,,,
203500,Steven Adams,New Zealand,120.18,211,Center,HOU,Houston Rockets,796,6930,1193,6391,723,668,8.7,8.0,1.5,0.9,0.8,,,,,,,,,,,
1628389,Bam Adebayo,USA,115.65,206,Center-Forward,MIA,Miami Heat,640,10391,2276,5756,538,693,16.2,9.0,3.6,0.8,1.1,,,,,,,,,,,
1630583,Santi Aldama,Spain,97.51,213,Forward-Center,DAL,Dallas Mavericks,278,2895,570,1513,172,183,10.4,5.4,2.1,0.6,0.7,,,,,,,,,,,
1641725,Trey Alexander,USA,83.9,196,Guard,UTA,Utah Jazz,33,79,20,23,3,8,2.4,0.7,0.6,0.1,0.2,,,,,,,,,,,
1629638,Nickeil Alexander-Walker,Canada,92.97,196,Guard,ATL,Atlanta Hawks,583,5937,1432,1504,236,436,10.2,2.6,2.5,0.4,0.7,,,,,,,,,,,
1628960,Grayson Allen,USA,89.8,190,Guard,CHA,Charlotte Hornets,454,5091,1007,1371,125,362,11.2,3.0,2.2,0.3,0.8,,,,,,,,,,,
1628386,Jarrett Allen,USA,110.2,206,Center,CLE,Cleveland Cavaliers,687,8954,1154,6346,840,458,13.0,9.2,1.7,1.2,0.7,,,,,,,,,,,
1630631,Jose Alvarado,USA,81.18,183,Guard,NYK,New York Knicks,365,2876,1182,847,62,403,7.9,2.3,3.2,0.2,1.1,,,,,,,,,,,
203937,Kyle Anderson,USA,104.31,203,Forward-Guard,TOR,Toronto Raptors,861,5765,2375,3573,526,829,6.7,4.1,2.8,0.6,1.0,,,,,,,,,,,
1630828,Alex Antetokounmpo,Greece,97.05,203,Forward,MIL,Milwaukee Bucks,6,19,1,6,1,0,3.2,1.0,0.2,0.2,0.0,,,,,,,,,,,
203507,Giannis Antetokounmpo,Greece,110.2,211,Forward,MIA,Miami Heat,895,21531,4484,8882,1088,995,24.1,9.9,5.0,1.2,1.1,,,,,,,,,,,
